ensembl_gene_id	wikigene_description	hgnc_symbol
ENSG00000215788	TNF receptor superfamily member 25	TNFRSF25
ENSG00000215790	solute carrier family 35 member E2A	SLC35E2A
ENSG00000215795		
ENSG00000215796		
ENSG00000215800		RSL24D1P4
ENSG00000215802		RFKP1
ENSG00000215805		
ENSG00000215807		KRT18P65
ENSG00000215808		LINC01139
ENSG00000215811	butyrophilin like 10	BTNL10
ENSG00000215812		ZNF847P
ENSG00000215817	zinc finger CCCH-type containing 11B	ZC3H11B
ENSG00000215819		KRT18P12
ENSG00000215833		QRSL1P1
ENSG00000215834	flavin containing dimethylaniline monoxygenase 9, pseudogene	FMO9P
ENSG00000215835		
ENSG00000215837		SDHAP2
ENSG00000215838		
ENSG00000215840		
ENSG00000215841		
ENSG00000215845	thiosulfate sulfurtransferase like domain containing 1	TSTD1
ENSG00000215846		MPTX1
ENSG00000215853	repetin	RPTN
ENSG00000215859		PDZK1P1
ENSG00000215861		
ENSG00000215864	NBPF member 7	NBPF7
ENSG00000215866		LINC01356
ENSG00000215867		KRT18P57
ENSG00000215869		
ENSG00000215871		
ENSG00000215873		FEN1P1
ENSG00000215874		CAPNS1P1
ENSG00000215875		ST13P20
ENSG00000215878		MARCKSL1P2
ENSG00000215881		LINC02337
ENSG00000215883	cytochrome b5 reductase like	CYB5RL
ENSG00000215887		ZNF859P
ENSG00000215893		RPL23AP17
ENSG00000215895		
ENSG00000215899		
ENSG00000215900		SELENOWP1
ENSG00000215905		
ENSG00000215906	lactamase beta like 1	LACTBL1
ENSG00000215908	CROCC pseudogene 2	CROCCP2
ENSG00000215909		BRWD1P1
ENSG00000215910	chromosome 1 open reading frame 167	C1orf167
ENSG00000215912	tetratricopeptide repeat domain 34	TTC34
ENSG00000215914		MMP23A
ENSG00000215915	ATPase family AAA domain containing 3C	ATAD3C
ENSG00000215930		MIR942
ENSG00000215938	microRNA 190b	MIR190B
ENSG00000215939	microRNA 873	MIR873
ENSG00000215943		MIR892A
ENSG00000215952		MIR921
ENSG00000215957	microRNA 300	MIR300
ENSG00000215961	microRNA 297	MIR297
ENSG00000215966		MIR876
ENSG00000215973	microRNA 933	MIR933
ENSG00000215991		MIR208B
ENSG00000216001		MIR450B
ENSG00000216005		MIR888
ENSG00000216009	microRNA 874	MIR874
ENSG00000216031	microRNA 298	MIR298
ENSG00000216035		MIR938
ENSG00000216056		MIR891A
ENSG00000216058		MIR944
ENSG00000216060		MIR934
ENSG00000216064		MIR891B
ENSG00000216069		MIR875
ENSG00000216075		MIR890
ENSG00000216077		MIR887
ENSG00000216098		MIR892B
ENSG00000216099		MIR889
ENSG00000216101		MIR877
ENSG00000216135		MIR885
ENSG00000216141	microRNA 941-2	MIR941-2
ENSG00000216171	microRNA 513c	MIR513C
ENSG00000216179	microRNA 541	MIR541
ENSG00000216191		MIR8485
ENSG00000216192		MIR920
ENSG00000216195	microRNA 941-4	MIR941-4
ENSG00000216265		FABP12P1
ENSG00000216285		
ENSG00000216306		KRT19P2
ENSG00000216307		
ENSG00000216316		
ENSG00000216324		
ENSG00000216331		HIST1H1PS1
ENSG00000216347		RPL10P10
ENSG00000216352		
ENSG00000216359		
ENSG00000216360		
ENSG00000216364		MRPL42P2
ENSG00000216365		RPL37P15
ENSG00000216368		
ENSG00000216378		
ENSG00000216412		RPL12P2
ENSG00000216425		
ENSG00000216436		HIST1H2APS1
ENSG00000216439		DUTP5
ENSG00000216444		RAET1M
ENSG00000216471		RPSAP43
ENSG00000216475		
ENSG00000216480		
ENSG00000216490	IFI30 lysosomal thiol reductase	IFI30
ENSG00000216516		
ENSG00000216518		EEF1GP6
ENSG00000216519		
ENSG00000216523		
ENSG00000216548		
ENSG00000216560		LINC00955
ENSG00000216588	immunoglobulin superfamily member 23	IGSF23
ENSG00000216613		
ENSG00000216616		
ENSG00000216621		
ENSG00000216624		GAPDHP72
ENSG00000216629		OR2W4P
ENSG00000216636		RPL7P25
ENSG00000216639		
ENSG00000216642		
ENSG00000216649	G antigen 12E	GAGE12E
ENSG00000216657		GLRX3P2
ENSG00000216663		
ENSG00000216671		CCNYL3
ENSG00000216676		
ENSG00000216687		
ENSG00000216708		CIR1P3
ENSG00000216710		COX6A1P3
ENSG00000216713		MTND4P13
ENSG00000216718		
ENSG00000216721		
ENSG00000216723		NUDT19P3
ENSG00000216740		ANXA2P3
ENSG00000216753		HMGA1P7
ENSG00000216754		
ENSG00000216762		VN1R13P
ENSG00000216775		
ENSG00000216777		PRRC2CP1
ENSG00000216781		
ENSG00000216802		
ENSG00000216809		
ENSG00000216811		
ENSG00000216813		
ENSG00000216817		R3HDM2P2
ENSG00000216819		TUBB2BP1
ENSG00000216824		ZNF736P10Y
ENSG00000216829		FGF7P4
ENSG00000216835		RBMXP1
ENSG00000216844		
ENSG00000216853		MTCYBP36
ENSG00000216854		RPL17P26
ENSG00000216859		DHFRP5
ENSG00000216863	LY86 antisense RNA 1	LY86-AS1
ENSG00000216866		RPS2P55
ENSG00000216867		RPL22P12
ENSG00000216895		
ENSG00000216901		ZNF603P
ENSG00000216902		
ENSG00000216904		SOCS5P5
ENSG00000216906		
ENSG00000216913		
ENSG00000216915		GPR89P
ENSG00000216917		
ENSG00000216921		FAM240C
ENSG00000216937	coiled-coil domain containing 7	CCDC7
ENSG00000216938		RPL7P58
ENSG00000216966		
ENSG00000216977		RPL21P65
ENSG00000216990		HSPD1P10
ENSG00000216998		CYP2AC1P
ENSG00000217004		
ENSG00000217026		RPL10P1
ENSG00000217027		TPT1P4
ENSG00000217030		
ENSG00000217041		
ENSG00000217044		MTCO3P31
ENSG00000217060		
ENSG00000217067		
ENSG00000217078		
ENSG00000217083		MTCO2P33
ENSG00000217085		HMGB3P19
ENSG00000217089		RPS29P13
ENSG00000217094		PPIAP31
ENSG00000217120		
ENSG00000217128	folliculin interacting protein 1	FNIP1
ENSG00000217130		
ENSG00000217135		
ENSG00000217139		
ENSG00000217159		LARP1P1
ENSG00000217160		MTCO2P31
ENSG00000217165		ANKRD18EP
ENSG00000217169		MTHFD2P2
ENSG00000217178		
ENSG00000217179		MTCYBP2
ENSG00000217181		
ENSG00000217195		
ENSG00000217227		
ENSG00000217228		GSTA12P
ENSG00000217231		
ENSG00000217236	Sp9 transcription factor	SP9
ENSG00000217239		
ENSG00000217241		CBX3P9
ENSG00000217261		POM121L4P
ENSG00000217268		TXNP7
ENSG00000217272		
ENSG00000217275		
ENSG00000217281		LYPLA2P1
ENSG00000217289		
ENSG00000217314		UQCRFS1P3
ENSG00000217315		OR2W2P
ENSG00000217325		PRELID1P1
ENSG00000217327		RPS7P5
ENSG00000217330		SSXP10
ENSG00000217331		
ENSG00000217334		
ENSG00000217372		TUBB4BP7
ENSG00000217377		AK4P5
ENSG00000217379		
ENSG00000217385		PSMC1P11
ENSG00000217404		RPS4XP9
ENSG00000217408		PRELID1P2
ENSG00000217414		DDX18P3
ENSG00000217416		ISCA1P1
ENSG00000217442	synaptonemal complex central element protein 3	SYCE3
ENSG00000217447		
ENSG00000217455		
ENSG00000217477		
ENSG00000217482		HMGB1P17
ENSG00000217483		
ENSG00000217488		
ENSG00000217495		
ENSG00000217512		
ENSG00000217514		
ENSG00000217527		RPS16P5
ENSG00000217539		IQCB2P
ENSG00000217555	chemokine like factor	CKLF
ENSG00000217557		
ENSG00000217566		TDGF1P4
ENSG00000217576		
ENSG00000217585		
ENSG00000217612		
ENSG00000217624		
ENSG00000217631		
ENSG00000217643		PTGES3P2
ENSG00000217644		
ENSG00000217646		HIST1H2BPS2
ENSG00000217648		
ENSG00000217653		
ENSG00000217680		UBE2V1P15
ENSG00000217684		RPS3AP24
ENSG00000217686		NUS1P4
ENSG00000217702		
ENSG00000217707		SERPINB8P1
ENSG00000217716		RPS10P3
ENSG00000217718		NDUFB4P4
ENSG00000217733		CCT7P1
ENSG00000217746		
ENSG00000217767		NDUFAB1P1
ENSG00000217769		
ENSG00000217770		FEM1AP3
ENSG00000217776		
ENSG00000217783		LDHAL6FP
ENSG00000217786		
ENSG00000217791		ASS1P9
ENSG00000217801		
ENSG00000217805		
ENSG00000217809		FAT1P1
ENSG00000217811		HNRNPDP2
ENSG00000217824		SNRPEP6
ENSG00000217825		
ENSG00000217835		
ENSG00000217862		HIST1H4PS1
ENSG00000217874		OR4F7P
ENSG00000217878		
ENSG00000217889		KRT18P48
ENSG00000217896		ZNF839P1
ENSG00000217897		HSPE1P8
ENSG00000217929		CICP18
ENSG00000217930	presequence translocase associated motor 16	PAM16
ENSG00000217950		NOC2LP2
ENSG00000218014		KRT19P1
ENSG00000218016		ZNF192P2
ENSG00000218018		
ENSG00000218020		THAP12P5
ENSG00000218027		
ENSG00000218029		
ENSG00000218048		
ENSG00000218049		RPL31P33
ENSG00000218052		ADAMTS7P4
ENSG00000218069		RSL24D1P1
ENSG00000218073		
ENSG00000218089		DNAJA1P4
ENSG00000218107		
ENSG00000218109		KIRREL3-AS3
ENSG00000218125		
ENSG00000218143		ERHP2
ENSG00000218153		KRT18P22
ENSG00000218173		
ENSG00000218175		
ENSG00000218180		SLC25A5P7
ENSG00000218186		KRT8P43
ENSG00000218187		
ENSG00000218189		POM121L14P
ENSG00000218194		HLFP1
ENSG00000218198		RPS20P32
ENSG00000218208		RPS27AP11
ENSG00000218213		FTH1P26
ENSG00000218226		TATDN2P2
ENSG00000218227		
ENSG00000218233		NEPNP
ENSG00000218261		
ENSG00000218265		RPS4XP7
ENSG00000218274		
ENSG00000218281		HIST1H2APS3
ENSG00000218283		MORF4L1P1
ENSG00000218297		OR2J4P
ENSG00000218300		RPL22P14
ENSG00000218305	cell division cycle 14C	CDC14C
ENSG00000218313		
ENSG00000218336	teneurin transmembrane protein 3	TENM3
ENSG00000218337		
ENSG00000218347		HNRNPA1P1
ENSG00000218350		LYPLA1P3
ENSG00000218351		RPS3AP23
ENSG00000218357		LINC01644
ENSG00000218358		RAET1K
ENSG00000218359		SUMO2P13
ENSG00000218363		SLC25A20P1
ENSG00000218410		
ENSG00000218416	uncharacterized LOC100130449	
ENSG00000218418		
ENSG00000218424		NDUFS5P1
ENSG00000218426		
ENSG00000218428		NIP7P3
ENSG00000218454		HNRNPA1P19
ENSG00000218459		RPS27P15
ENSG00000218472		
ENSG00000218475		ACTG1P18
ENSG00000218476		
ENSG00000218483		
ENSG00000218490		FCF1P10
ENSG00000218499		
ENSG00000218502		H2AFZP3
ENSG00000218510	long intergenic non-protein coding RNA 339	LINC00339
ENSG00000218512		SPTLC1P2
ENSG00000218520		
ENSG00000218521		
ENSG00000218536		
ENSG00000218537		MIF-AS1
ENSG00000218549		OR4K12P
ENSG00000218561		
ENSG00000218565		
ENSG00000218574		HNRNPA1P37
ENSG00000218577		
ENSG00000218582		GAPDHP63
ENSG00000218586		
ENSG00000218596		
ENSG00000218617		
ENSG00000218631		
ENSG00000218632		RPL7P28
ENSG00000218643		RPL5P20
ENSG00000218672		
ENSG00000218676		BRD7P4
ENSG00000218682		
ENSG00000218689		RPL5P21
ENSG00000218690		HIST1H2APS4
ENSG00000218698		ST13P16
ENSG00000218713		
ENSG00000218716		RPL12P23
ENSG00000218725		B3GALNT2P1
ENSG00000218728		KRT18P44
ENSG00000218730		
ENSG00000218732		
ENSG00000218739	CEBPZ opposite strand	CEBPZOS
ENSG00000218748		DBIP1
ENSG00000218749		
ENSG00000218754		RPL18AP8
ENSG00000218757		
ENSG00000218766		
ENSG00000218772		FAM8A6P
ENSG00000218776		MTATP6P31
ENSG00000218792		HSPD1P16
ENSG00000218793		
ENSG00000218803		GSTM2P1
ENSG00000218806		
ENSG00000218809		
ENSG00000218813		
ENSG00000218819	tudor domain containing 15	TDRD15
ENSG00000218823	poly(A) polymerase beta	PAPOLB
ENSG00000218834		
ENSG00000218839		FAM138C
ENSG00000218857		
ENSG00000218868		CNN3P1
ENSG00000218870		SLC25A6P6
ENSG00000218872		
ENSG00000218890		NUFIP1P1
ENSG00000218891	zinc finger protein 579	ZNF579
ENSG00000218893		SUMO2P12
ENSG00000218896		TUBB8P2
ENSG00000218902		PTMAP3
ENSG00000218965		NACAP7
ENSG00000218976		
ENSG00000218980		FTH1P15
ENSG00000218986		
ENSG00000218991		CCNG1P1
ENSG00000218996		ARL4AP5
ENSG00000219023		
ENSG00000219027		RPS3AP2
ENSG00000219039		
ENSG00000219061		TRIM51FP
ENSG00000219073	chymotrypsin like elastase 3B	CELA3B
ENSG00000219074		SOD1P1
ENSG00000219085		NPM1P37
ENSG00000219087		MTND4LP19
ENSG00000219088		
ENSG00000219095		DHFRP6
ENSG00000219102		HNRNPA3P12
ENSG00000219133		
ENSG00000219135		RPL23AP48
ENSG00000219139		TYMSP1
ENSG00000219146		RPS4XP8
ENSG00000219149		PPIAP87
ENSG00000219150		
ENSG00000219159		
ENSG00000219163		HMGB1P20
ENSG00000219186		FTH1P19
ENSG00000219188		CACYBPP3
ENSG00000219190		
ENSG00000219200	ribonuclease K	RNASEK
ENSG00000219201		
ENSG00000219222		RPL12P47
ENSG00000219240		
ENSG00000219249		AMZ2P2
ENSG00000219253		RPS6P7
ENSG00000219257		NPM1P38
ENSG00000219262		OR2E1P
ENSG00000219273		
ENSG00000219274		RPS20P2
ENSG00000219280		VN1R8P
ENSG00000219284		
ENSG00000219294		PIP5K1P1
ENSG00000219297		MRPL42P3
ENSG00000219298		
ENSG00000219302		
ENSG00000219314		
ENSG00000219329		
ENSG00000219355		RPL31P52
ENSG00000219361		RPSAP72
ENSG00000219368		ZNF299P
ENSG00000219375		
ENSG00000219384		
ENSG00000219387		ATF1P1
ENSG00000219391		
ENSG00000219392		ZNF602P
ENSG00000219395		HSPA8P15
ENSG00000219404		
ENSG00000219409		
ENSG00000219410		
ENSG00000219430		MBL3P
ENSG00000219433		BTBD10P2
ENSG00000219435	catsper channel auxiliary subunit zeta	CATSPERZ
ENSG00000219438	TAFA chemokine like family member 5	TAFA5
ENSG00000219445		
ENSG00000219451		RPL23P8
ENSG00000219453		
ENSG00000219463		RPSAP42
ENSG00000219470		
ENSG00000219481	NBPF member 1	NBPF1
ENSG00000219487		
ENSG00000219491		TPT1P8
ENSG00000219492		
ENSG00000219500		
ENSG00000219507		FTH1P8
ENSG00000219529		
ENSG00000219532		SELENOKP2
ENSG00000219545	UBAP1-MVB12-associated (UMA) domain containing 1	UMAD1
ENSG00000219547		RPL17P25
ENSG00000219549		
ENSG00000219553		
ENSG00000219559		
ENSG00000219565		ZNF259P1
ENSG00000219575		
ENSG00000219582		HNRNPA1P58
ENSG00000219592		NCSTNP1
ENSG00000219604		
ENSG00000219607	protein phosphatase 1 regulatory subunit 3G	PPP1R3G
ENSG00000219608		HIGD1AP16
ENSG00000219619		
ENSG00000219622		
ENSG00000219626	family with sequence similarity 228 member B	FAM228B
ENSG00000219627		CYCSP17
ENSG00000219642		BMPR1AP1
ENSG00000219653		GCNT1P4
ENSG00000219665		ZNF433-AS1
ENSG00000219666		
ENSG00000219669		BECN1P2
ENSG00000219681		
ENSG00000219682		
ENSG00000219693		FGF7P8
ENSG00000219699		
ENSG00000219700		PTCHD3P3
ENSG00000219702		
ENSG00000219703		RAP1BP3
ENSG00000219712		
ENSG00000219722		RPL26P20
ENSG00000219736		
ENSG00000219738		CD83P1
ENSG00000219747		
ENSG00000219755		
ENSG00000219757		
ENSG00000219758		
ENSG00000219770		VN1R11P
ENSG00000219773		RPSAP45
ENSG00000219776		RPL21P67
ENSG00000219784		
ENSG00000219790		OSTCP6
ENSG00000219797		PPIAP9
ENSG00000219806		ATP5PBP6
ENSG00000219807		ARF1P1
ENSG00000219814		RPL23AP47
ENSG00000219863		RPL31P28
ENSG00000219867		
ENSG00000219870		BRK1P1
ENSG00000219881		GAPDHP42
ENSG00000219891		ZSCAN12P1
ENSG00000219902		RPL35P3
ENSG00000219926		OR7E104P
ENSG00000219928		
ENSG00000219930		GAPDHP67
ENSG00000219932		RPL12P8
ENSG00000219940		SPTLC1P3
ENSG00000219941		KRT18P50
ENSG00000219951		
ENSG00000219986		BTF3P7
ENSG00000219992		
ENSG00000219993		
ENSG00000220008	leucine rich repeat and Ig domain containing 3	LINGO3
ENSG00000220030		
ENSG00000220069		RPL7P27
ENSG00000220076		
ENSG00000220091		LAP3P1
ENSG00000220105		
ENSG00000220110		
ENSG00000220113		MTCYBP4
ENSG00000220125		MRPL32P1
ENSG00000220130		
ENSG00000220131		
ENSG00000220132		
ENSG00000220139		
ENSG00000220154		
ENSG00000220157		HNRNPA1P12
ENSG00000220161		LINC02076
ENSG00000220181		
ENSG00000220184		HMGB3P18
ENSG00000220201	zinc finger GATA like protein 1	ZGLP1
ENSG00000220204		
ENSG00000220205	vesicle associated membrane protein 2	VAMP2
ENSG00000220212		OR4F1P
ENSG00000220237		RPS24P12
ENSG00000220240		
ENSG00000220248		ZNF402P
ENSG00000220256		
ENSG00000220267		ACTBP8
ENSG00000220291		
ENSG00000220305		HNRNPH1P1
ENSG00000220311		RPL35AP18
ENSG00000220323		HIST2H2BD
ENSG00000220326		
ENSG00000220340		MTCO1P56
ENSG00000220343		PPIAP74
ENSG00000220347		
ENSG00000220349		
ENSG00000220370		
ENSG00000220377		GSTA8P
ENSG00000220378		KRT8P42
ENSG00000220379		OR2J4P
ENSG00000220391		HCG4B
ENSG00000220392		FCF1P5
ENSG00000220412		
ENSG00000220418		TUBB3P1
ENSG00000220446		
ENSG00000220447		
ENSG00000220472		
ENSG00000220483		SLC25A51P1
ENSG00000220494		YAP1P1
ENSG00000220505		EIF4EBP2P3
ENSG00000220506		
ENSG00000220514		MTND4LP20
ENSG00000220515		PGAM1P10
ENSG00000220517		ASS1P1
ENSG00000220522		
ENSG00000220537		
ENSG00000220540		
ENSG00000220541		
ENSG00000220550	olfactory receptor family 10 subfamily C member 1 (gene/pseudogene)	OR10C1
ENSG00000220553		RPL5P19
ENSG00000220556		
ENSG00000220557		HMGB1P13
ENSG00000220563		PKMP3
ENSG00000220575		HTR5A-AS1
ENSG00000220581		VN1R12P
ENSG00000220583		RPL35P2
ENSG00000220585		DDX18P6
ENSG00000220586		TUBBP9
ENSG00000220598		SSR1P1
ENSG00000220600		
ENSG00000220614		
ENSG00000220635		KRASP1
ENSG00000220643		
ENSG00000220660		
ENSG00000220666		RCC2P7
ENSG00000220685		
ENSG00000220694		
ENSG00000220695		
ENSG00000220702		
ENSG00000220721	olfactory receptor family 1 subfamily F member 12	OR1F12
ENSG00000220725		
ENSG00000220730		
ENSG00000220733		MTND3P20
ENSG00000220734		
ENSG00000220739		
ENSG00000220744		RPL5P18
ENSG00000220745		
ENSG00000220748		
ENSG00000220749		RPL21P28
ENSG00000220758		VN1R10P
ENSG00000220771		BOLA2P3
ENSG00000220773		RPSAP44
ENSG00000220785		MTMR9LP
ENSG00000220793		RPL21P119
ENSG00000220804		LINC01881
ENSG00000220831		NDUFA5P9
ENSG00000220842		RPL21P16
ENSG00000220848		RPS18P9
ENSG00000220867		HSPE1P26
ENSG00000220868		MRPL35P1
ENSG00000220871		DNAJC19P6
ENSG00000220875		HIST1H3PS1
ENSG00000220884		MESTP1
ENSG00000220890		HCG27
ENSG00000220891		
ENSG00000220908		LINC02531
ENSG00000220913		
ENSG00000220918		
ENSG00000220920		
ENSG00000220924		OSTCP4
ENSG00000220925		IGBP1-AS2
ENSG00000220937		HNRNPA1P41
ENSG00000220948		TRIM51GP
ENSG00000220949		
ENSG00000220960		
ENSG00000220986		
ENSG00000220988		SNORD88C
ENSG00000221015		RNU6ATAC29P
ENSG00000221017		MIR1323
ENSG00000221023		RNU6ATAC19P
ENSG00000221025		MIR1250
ENSG00000221028		MIR1231
ENSG00000221031		
ENSG00000221033		MIR1272
ENSG00000221036		MIR1193
ENSG00000221038		RNU6ATAC7P
ENSG00000221039		MIR1286
ENSG00000221040		
ENSG00000221042		
ENSG00000221043		
ENSG00000221044		
ENSG00000221046		RNU6ATAC38P
ENSG00000221052	microRNA 1266	MIR1266
ENSG00000221055		MIR1302-3
ENSG00000221059		RNU6ATAC6P
ENSG00000221060		
ENSG00000221063	microRNA 1296	MIR1296
ENSG00000221065		MIR1233-2
ENSG00000221066		SNORD111
ENSG00000221081		MIR320D2
ENSG00000221083		
ENSG00000221091		MIR1302-5
ENSG00000221093		
ENSG00000221102		SNORA11B
ENSG00000221114		RNU6ATAC30P
ENSG00000221116	small nucleolar RNA, C/D box 110	SNORD110
ENSG00000221120		MIR1224
ENSG00000221125		
ENSG00000221139		
ENSG00000221148		
ENSG00000221164		SNORA11F
ENSG00000221176		MIR1207
ENSG00000221184		
ENSG00000221187		MIR548M
ENSG00000221190		MIR1184-2
ENSG00000221200	microRNA 1253	MIR1253
ENSG00000221203		MIR1262
ENSG00000221206		RNU6ATAC15P
ENSG00000221214	microRNA 548e	MIR548E
ENSG00000221216		RNU6ATAC27P
ENSG00000221227		MIR1305
ENSG00000221230		MIR548L
ENSG00000221238		MIR1285-2
ENSG00000221240	microRNA 1258	MIR1258
ENSG00000221241		SNORD88A
ENSG00000221245		
ENSG00000221251	microRNA 1263	MIR1263
ENSG00000221255		RNU6ATAC37P
ENSG00000221261		MIR1208
ENSG00000221263		MIR548P
ENSG00000221264	microRNA 1284	MIR1284
ENSG00000221265		MIR1255A
ENSG00000221269		MIR1302-8
ENSG00000221273		MIR1237
ENSG00000221275		MIR548I2
ENSG00000221287		MIR1289-2
ENSG00000221288		MIR663B
ENSG00000221296		MIR548T
ENSG00000221300		
ENSG00000221303		SNORA79
ENSG00000221305		MIR548I3
ENSG00000221325		MIR1200
ENSG00000221331		MIR548Q
ENSG00000221332		
ENSG00000221333	microRNA 548k	MIR548K
ENSG00000221340		RNU6ATAC18P
ENSG00000221345		
ENSG00000221348		MIR548F5
ENSG00000221355	microRNA 1288	MIR1288
ENSG00000221363		RNU6ATAC20P
ENSG00000221365		MIR1228
ENSG00000221369		MIR548G
ENSG00000221371		MIR1265
ENSG00000221375		RNU6ATAC23P
ENSG00000221381		SNORD88B
ENSG00000221387		RNU6ATAC8P
ENSG00000221390		MIR1295A
ENSG00000221393		MIR1302-6
ENSG00000221394		MIR1229
ENSG00000221398		
ENSG00000221400		SNORD3J
ENSG00000221406		MIR320B2
ENSG00000221410		MIR1238
ENSG00000221411		MIR1227
ENSG00000221420		SNORA81
ENSG00000221421	microRNA 1283-1	MIR1283-1
ENSG00000221430		MIR1294
ENSG00000221436		MIR548F3
ENSG00000221439		RNU4ATAC16P
ENSG00000221440		RNU6ATAC31P
ENSG00000221442		MIR548F4
ENSG00000221445	microRNA 1301	MIR1301
ENSG00000221455		
ENSG00000221456	microRNA 1202	MIR1202
ENSG00000221459		SNORA11C
ENSG00000221461		
ENSG00000221463	microRNA 1277	MIR1277
ENSG00000221464	microRNA 1271	MIR1271
ENSG00000221466		MIR548AJ2
ENSG00000221468		RNU6ATAC11P
ENSG00000221475		SNORA11D
ENSG00000221476		MIR1827
ENSG00000221479		MIR1251
ENSG00000221491		SNORA2C
ENSG00000221493		MIR320C1
ENSG00000221494		MIR548I4
ENSG00000221496		
ENSG00000221498		
ENSG00000221500		SNORD100
ENSG00000221502		MIR1245A
ENSG00000221507		RNU6ATAC40P
ENSG00000221510		MIR548O
ENSG00000221514		SNORD111B
ENSG00000221518		RNU6ATAC16P
ENSG00000221520		MIR1285-1
ENSG00000221525		MIR1185-1
ENSG00000221527		RNU6ATAC41P
ENSG00000221533		MIR1184-1
ENSG00000221537		MIR548H1
ENSG00000221539	small nucleolar RNA, C/D box 99	SNORD99
ENSG00000221540		MIR1180
ENSG00000221545		MIR1255B2
ENSG00000221548		MIR1283-2
ENSG00000221552		MIR1303
ENSG00000221562		RNU6ATAC10P
ENSG00000221563		MIR1269A
ENSG00000221564		RNU6ATAC42P
ENSG00000221571		RNU6ATAC35P
ENSG00000221574		RNU6ATAC33P
ENSG00000221583		RNU6ATAC21P
ENSG00000221585	microRNA 1226	MIR1226
ENSG00000221586		MIR1261
ENSG00000221594		MIR548F1
ENSG00000221598		MIR1249
ENSG00000221601		RNU4ATAC2P
ENSG00000221603		MIR1184-3
ENSG00000221604		MIR1293
ENSG00000221611		
ENSG00000221614		MIR1185-2
ENSG00000221616		MIR548H4
ENSG00000221628		MIR1302-4
ENSG00000221630	microRNA 1179	MIR1179
ENSG00000221633		
ENSG00000221634		MIR1276
ENSG00000221638		
ENSG00000221639		
ENSG00000221641		MIR1268A
ENSG00000221643		SNORA77
ENSG00000221649		MIR1233-1
ENSG00000221650		MIR1267
ENSG00000221656		MIR1225
ENSG00000221662	microRNA 1290	MIR1290
ENSG00000221669		MIR548N
ENSG00000221673		
ENSG00000221676		RNU6ATAC
ENSG00000221680		MIR1278
ENSG00000221697	microRNA 1275	MIR1275
ENSG00000221698		MIR548H3
ENSG00000221703	microRNA 302e	MIR302E
ENSG00000221705		SNORA11E
ENSG00000221710		MIR1298
ENSG00000221711		
ENSG00000221716		SNORA11
ENSG00000221719		SNORA3C
ENSG00000221725		RNU6ATAC25P
ENSG00000221737		MIR548I1
ENSG00000221739		MIR1203
ENSG00000221740		SNORD93
ENSG00000221745		MIR1197
ENSG00000221750		SNORA11G
ENSG00000221753		
ENSG00000221754		MIR1260A
ENSG00000221760	microRNA 548j	MIR548J
ENSG00000221763		MIR1289-1
ENSG00000221768		MIR1302-7
ENSG00000221771		MIR1205
ENSG00000221782		MIR548F2
ENSG00000221783		MIR1183
ENSG00000221788		MIR1252
ENSG00000221792		MIR1282
ENSG00000221801		MIR548H2
ENSG00000221803		SNORD23
ENSG00000221806		RNU6ATAC34P
ENSG00000221808		MIR1256
ENSG00000221813	olfactory receptor family 6 subfamily B member 1	OR6B1
ENSG00000221817		PPP3CB-AS1
ENSG00000221818	EBF transcription factor 2	EBF2
ENSG00000221819		GAS8-AS1
ENSG00000221821	chromosome 6 open reading frame 226	C6orf226
ENSG00000221823	protein phosphatase 3 regulatory subunit B, alpha	PPP3R1
ENSG00000221826	pregnancy specific beta-1-glycoprotein 3	PSG3
ENSG00000221829	FA complementation group G	FANCG
ENSG00000221836	olfactory receptor family 2 subfamily A member 5	OR2A5
ENSG00000221837	keratin associated protein 10-9	KRTAP10-9
ENSG00000221838	adaptor related protein complex 4 subunit mu 1	AP4M1
ENSG00000221840	olfactory receptor family 4 subfamily A member 5	OR4A5
ENSG00000221843	chromosome 2 open reading frame 16	C2orf16
ENSG00000221844		DPP3P2
ENSG00000221845	chromosome 7 open reading frame 65	C7orf65
ENSG00000221849		
ENSG00000221852	keratin associated protein 1-5	KRTAP1-5
ENSG00000221855	taste 2 receptor member 41	TAS2R41
ENSG00000221857		
ENSG00000221858	olfactory receptor family 2 subfamily A member 12	OR2A12
ENSG00000221859	keratin associated protein 10-10	KRTAP10-10
ENSG00000221864	keratin associated protein 12-2	KRTAP12-2
ENSG00000221866	plexin A4	PLXNA4
ENSG00000221867	MAGE family member A3	MAGEA3
ENSG00000221869	CCAAT enhancer binding protein delta	CEBPD
ENSG00000221874	ZNF816-ZNF321P readthrough	ZNF816-ZNF321P
ENSG00000221878	pregnancy specific beta-1-glycoprotein 7 (gene/pseudogene)	PSG7
ENSG00000221879		MRPS21P3
ENSG00000221880	keratin associated protein 1-3	KRTAP1-3
ENSG00000221882	olfactory receptor family 3 subfamily A member 2	OR3A2
ENSG00000221883		ARIH2OS
ENSG00000221886	zinc finger BED-type containing 8	ZBED8
ENSG00000221887	histocompatibility minor serpin domain containing	HMSD
ENSG00000221888	olfactory receptor family 1 subfamily C member 1	OR1C1
ENSG00000221890	neuronal pentraxin receptor	NPTXR
ENSG00000221891		FAM218BP
ENSG00000221900	POM121 transmembrane nucleoporin like 12	POM121L12
ENSG00000221909	family with sequence similarity 200 member A	FAM200A
ENSG00000221910	olfactory receptor family 2 subfamily F member 2	OR2F2
